name,1,2,3,4,5,6,7,8,9,10,11,12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,V,,
bsn+C24_NH3+L49_NH2_COOH,73.00027078,379,11.70479,7.5643,11.70479,0.594863,2587.67,4350.02,1.16075,0.69049,0.349408,3.80888,,583398.1638,5.581216563,1.533937056,13.24933262,10.14503576,1.533937056,30531.4,1.544566268,1.533937056
ukl+C54_COOH+L25_Cl_COOH,59.70488135,1657,6.42821,2.9769,6.46555,1.55122,1968.16,1268.78,0.27566,0.42761,22.2662,11757.4,,5058902.45,15.49793102,4.993877462,60.98291777,114.5472022,4.993877462,13486.7,10.11529524,
sme+C36_COOH+L31_NO2_F,33.53365038,1181,7.19398,4.6142,8.07085,0.980531,3061.7,3122.49,0.581736,0.57041,1.21233,33.03,,3545470.372,10.52696171,,17.74474263,29.37565361,3.012436264,24061.1,4.108229825,
sme+C36_COOH+L6_CH3_F,27.6534507,806,6.86451,5.00651,8.35185,0.875522,3007.17,3434.71,0.668298,0.58511,0.769987,16.6722,,2122071.855,8.997285397,,16.493006,21.82064974,2.544560268,26645.7,3.261533669,
wif+C36_COOH+L76_NH2_NH3,27.04484966,2079,13.45194,10.19653,13.5005,0.675958,2299.27,3401.5,0.983716,0.66495,0.909908,35.9532,,3231202.487,7.920584331,,16.26135881,15.7331374,2.242730285,34818,2.51599372,
whl+C36_COOH+L39_Cl_COOH,25.13238477,2157,26.80105,25.03376,26.80105,0.678457,1614.59,2379.8,1.08462,0.73587,0.993306,64.5474,,2362842.268,7.637308968,,14.6230245,15.90021785,2.261873968,43552.7,2.20703902,
wha+C36_COOH+L76_COOH_COOH,21.28206913,1324,13.26835,9.68559,13.28896,0.642831,2011.56,3129.22,1.13142,0.72731,0.739909,31.4492,,1712055.299,7.014803262,,13.78044137,13.71665819,2.006846375,23698.7,2.162008528,
wgv+C36_COOH+L23_CH3_COOH,19.85062529,1409,13.00424,10.32564,13.00424,0.614274,2049.62,3336.65,1.22346,0.75154,0.613402,11.9805,,1773970.841,6.81511919,,13.87191231,12.95490955,1.934294151,16099.3,2.15869161,
whl+C36_COOH+L37_CN_NH3,18.62119836,2061,22.75336,20.90243,22.75336,0.565937,1922.55,3397.1,1.25224,0.70869,0.559094,15.5562,,2242454.932,6.622803269,,14.70931013,12.19831165,1.875559356,40314.7,1.92261946,
hjm+C35_COOH+L4_OH_F,15.12024443,208,8.77809,5.53901,8.84542,0.675269,2870.98,4251.62,0.960981,0.64892,0.493885,6.7185,,403246.2291,5.679835449,,14.12352597,10.97474145,1.56531631,15002.7,1.915611068,
whi+C36_COOH+L39_Br_NH3,14.93458948,1200,19.64437,15.13115,20.36783,0.596761,1934.15,3241.08,1.25792,0.75068,0.435479,9.12252,,1385070.346,6.451016273,,13.1261905,12.16735706,1.83753528,47707,1.669074681,
apo+C30_NH3+C24_NH3+L66_Cl_COOH,14.72937677,713,23.17194,22.80251,23.17502,0.3468,1759.99,5074.94,2.22018,0.76996,0.270201,5.70998,,435189.9113,3.666343985,,10.12023029,6.340381645,0.989451449,63841.6,0.786851605,
cds+C35_COOH+L24_NH2_NH3,14.32124521,81,8.49729,7.13212,9.35302,0.531078,2571.08,4841.24,1.4801,0.78605,0.464566,6.25317,,110600.966,3.734904014,,12.21712674,6.482861676,1.013554407,2953.69,1.443879577,
twt+C30_NH3+L42_NO2_COOH,13.65484457,197,15.12663,14.7565,15.15658,0.438533,2579.65,5882.46,1.78133,0.78117,0.441006,5.42394,,222858.5457,3.792927073,,11.77120823,6.298174212,1.006199158,11958.9,1.0754604,
wki+C36_COOH+L41_Br_COOH,13.24294435,1350,18.07657,15.17086,18.07657,0.550252,1708.91,3105.68,1.39949,0.77007,0.302935,4.81249,,1269447.046,6.0151436,,12.56018645,11.11328997,1.722472417,43358.8,1.566451136,
whu+C36_COOH+L1_COOH_COOH,11.87916287,2068,27.07774,25.58311,27.11014,0.384791,1449.5,3766.98,2.16762,0.83408,0.320503,4.98326,,1153436.419,4.562230835,,12.52309045,8.041677487,1.275794006,67154.4,1.009147275,
wkj+C36_COOH+L42_NH2_F,11.76149858,526,30.35163,26.64631,30.35163,0.397851,1451.66,3648.76,2.0145,0.80147,0.209704,2.83634,,303788.3453,3.856189347,,9.608962789,6.801070338,1.082546899,44964.5,0.877184329,
vmk+C36_COOH+L72_NH3,11.42728377,1563,16.96374,15.26269,16.97896,0.384864,1649.64,4286.28,2.15084,0.82778,0.281394,3.3969,,992328.4575,4.464698056,,11.84984503,7.7480664,1.229239828,37302.8,1.07920163,
wha+C36_COOH+L26_SH_COOH,11.16864311,1328,16.35577,13.07678,16.75525,0.4139,1717.93,4150.6,1.98524,0.82169,0.28694,3.60057,,944276.0295,4.677101846,,11.76457012,8.100270619,1.292691683,34109.9,1.153155267,
crs+C36_COOH+L37_OH_F,11.09194827,1124,16.20613,11.49107,16.20613,0.523754,1698.57,3243.08,1.43814,0.75323,0.233405,2.7764,,999947.3029,5.609987417,,11.94390861,10.18973623,1.597851059,43095.8,1.470862224,
wie+C36_COOH+L37_CN_NH3,10.93127447,1414,14.48011,11.87926,15.29741,0.487342,2066.07,4239.46,1.48922,0.72576,0.291876,3.50942,,1423732.118,5.569177878,,13.27482547,9.676415535,1.535346316,46816.3,1.463195958,
sol+C36_COOH+L23_NO2_F,10.90952501,583,13.63683,11.94267,13.63683,0.577685,2334.55,4041.22,1.31779,0.76127,0.320845,3.37751,,786253.9233,5.762071776,,12.86344571,10.45887884,1.597685239,15665.6,1.722341284,
hxg+C36_NH3+L1_CH3_COOH,10.73121121,317,14.80387,7.45785,14.9005,0.502371,2282.63,4543.71,1.48984,0.74845,0.352174,3.5918,,363512.4957,4.595388822,,11.77132968,7.952340778,1.256459643,9369.91,1.495664651,
vby+C36_COOH+L40_Br_COOH,10.26673461,818,12.31678,10.13262,12.49478,0.611902,2250.7,3678.2,1.20083,0.73479,0.272188,2.91792,,1126556.006,6.355101653,,13.2373669,11.91806373,1.782319572,25929.4,1.830343741,
skd+C36_COOH+L38_CH3_F,10.26319829,293,23.21612,22.25795,23.21612,0.376156,1470.72,3909.86,2.17157,0.81685,0.201265,2.19634,,162093.5046,3.333263576,,8.957344059,5.865456855,0.927927057,29898.2,0.778326597,
